Cuenca;Aliviadero;Colector;Condicion;Caudal;Fecha;Hora;Datos
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:05 a. m.;0.08333;205.30
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:10 a. m.;0.16667;206.56
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:15 a. m.;0.25000;207.36
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:20 a. m.;0.33333;208.06
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:25 a. m.;0.41667;208.76
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:30 a. m.;0.50000;209.48
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:35 a. m.;0.58333;210.16
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:40 a. m.;0.66667;210.83
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:45 a. m.;0.75000;211.52
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:50 a. m.;0.83333;212.21
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 10:55 a. m.;0.91667;212.90
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:00 a. m.;1.00000;213.60
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:05 a. m.;1.08333;214.20
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:10 a. m.;1.16667;214.29
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:15 a. m.;1.25000;214.04
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:20 a. m.;1.33333;213.71
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:25 a. m.;1.41667;213.39
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:30 a. m.;1.50000;213.05
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:35 a. m.;1.58333;212.72
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:40 a. m.;1.66667;212.39
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:45 a. m.;1.75000;212.07
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:50 a. m.;1.83333;211.74
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 11:55 a. m.;1.91667;211.40
La Doctora;6073236;La Escuela;Seco;Residual;1/01/2000 12:00 p. m.;2.00000;211.07
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:05 a. m.;0.08333;1.46
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:10 a. m.;0.16667;276.15
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:15 a. m.;0.25000;11.31
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:20 a. m.;0.33333;431.20
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:25 a. m.;0.41667;662.52
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:30 a. m.;0.50000;664.33
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:35 a. m.;0.58333;705.89
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:40 a. m.;0.66667;690.49
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:45 a. m.;0.75000;640.86
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:50 a. m.;0.83333;571.29
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 10:55 a. m.;0.91667;458.09
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:00 a. m.;1.00000;209.02
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:05 a. m.;1.08333;168.59
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:10 a. m.;1.16667;158.06
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:15 a. m.;1.25000;155.28
