Cuenca;Colector;Label;Lon_x;Lat_y;Elevation_m;Elevation_Invert_m;07_Clase_Aliviadero;11_Origen_Dato;02_Tipo_Agua;03_Tipo_Red;04_Estado;Tipo_Nodo;Activo
La Mina;Sabaneta Norte;6060590;-75.602171;6.158549;1593.77;1589.40;null;Levantamiento;LLUVIAS;SECUNDARIA;OPERACION;CAMARA;True
La Mina;Sabaneta Norte;6060592;-75.602474;6.158326;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060597;-75.602362;6.157547;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060598;-75.602594;6.158210;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060599;-75.602197;6.158436;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060600;-75.602248;6.158286;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060601;-75.602206;6.157239;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060602;-75.602250;6.157377;0.00;0.00;null;null;LLUVIAS;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060604;-75.602429;6.157930;0.00;0.00;null;null;LLUVIAS;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6060605;-75.602521;6.158209;1600.35;1598.15;null;Levantamiento;LLUVIAS;SECUNDARIA;OPERACION;CAMARA;True
La Mina;Sabaneta Norte;6060623;-75.602196;6.158342;1597.28;1594.25;null;Levantamiento;LLUVIAS;SECUNDARIA;OPERACION;CAMARA;True
La Mina;Sabaneta Norte;6061250;-75.602093;6.160215;1567.97;1565.21;null;Levantamiento;COMBINADAS;SECUNDARIA;OPERACION;CAMARA;True
La Mina;Sabaneta Norte;6061252;-75.601990;6.160128;1569.10;1566.81;null;Levantamiento;COMBINADAS;SECUNDARIA;OPERACION;CAMARA;True
La Mina;Sabaneta Norte;6063045;-75.602141;6.159850;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6063049;-75.602018;6.159483;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6063050;-75.601935;6.159239;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6063052;-75.600681;6.159385;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6063053;-75.601193;6.159015;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6063054;-75.601352;6.158949;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
La Mina;Sabaneta Norte;6063057;-75.601449;6.158930;0.00;0.00;null;null;RESIDUALES;SECUNDARIA;OPERACION;CAMARA;False
