CUENCA;LABEL;START_NODE;STOP_NODE;STARTPNT_X;STARTPNT_Y;ENDPNT_X;ENDPNT_Y;ORIGEN_DATO;MAXIMA_CAP;DIAMETRO;CAUDAL_MAX;REL_MAXCAP_CAUDALMAX;COTA_INV_INICIO;COTA_INV_FIN;SUMERGIDO1;SUMERGIDO2;IS_ACTIVE;LONGITUD;MATERIAL;TIPO_AGUA;TIPO_RED;ESTADO;PENDIENTE;CONDICION;COLECTOR;CRUCE;D_INT_PROY;text
LA MINA;9742803;9742668;MH-47;-75.6026666828;6.1566966244;-75.6026781532;6.1566853238;null;0;0;-1;-1;0.00;0.00;0;0;False;1.80;PVC;LLUVIAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :1.8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6064258;6064242;6064163;-75.6038665556;6.1619425141;-75.6038827692;6.1619435706;null;0;0;-1;-1;0.00;0.00;0;0;False;1.80;Concrete;COMBINADAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :1.8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742376;9742629;9742668;-75.6026519595;6.1567040393;-75.6026666828;6.1566966244;null;0;0;-1;-1;0.00;0.00;0;0;False;1.80;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :1.8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084593;9084588;9084587;-75.6029726236;6.1565005384;-75.6029809422;6.1564853521;null;0;0;-1;-1;0.00;0.00;0;0;False;1.90;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :1.9<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9380407;9262558;9262561;-75.6030041154;6.1561226451;-75.6030257941;6.1561269835;null;0;0;-1;-1;0.00;0.00;0;0;False;2.40;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :2.4<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742373;9742610;9742629;-75.6026612644;6.1567270009;-75.6026519595;6.1567040393;null;0;0;-1;-1;0.00;0.00;0;0;False;2.70;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :2.7<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9380411;9262569;9262570;-75.6031749468;6.1564470049;-75.6032002378;6.1564544159;null;0;0;-1;-1;0.00;0.00;0;0;False;2.90;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :2.9<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742902;9742668;MH-60;-75.6026666828;6.1566966244;-75.6026932391;6.1567056642;null;0;0;-1;-1;0.00;0.00;0;0;False;3.10;PVC;RESIDUALES;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :3.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742388;9742621;9742623;-75.6025758046;6.1565565030;-75.6025580105;6.1565796484;null;0;0;-1;-1;0.00;0.00;0;0;False;3.20;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :3.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084568;9084553;9084554;-75.6026054340;6.1563636318;-75.6026305773;6.1563484916;null;0;0;-1;-1;0.00;0.00;0;0;False;3.20;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :3.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
